,Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Visibility,Item_Weight,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Type_Combined,Outlet_Years,Outlet
42,0,FDA46,192.9136,2527.3768,0.117818348,13.6,OUT049,0,1,1,1,14,9
43,0,FDC02,259.9278,6768.5228,0.06910283099999999,21.35,OUT018,2,1,2,1,4,3
44,2,FDL50,126.5046,373.5138,0.042277867000000004,12.15,OUT013,2,2,1,1,26,1
45,0,FDM39,178.1002,358.2004,0.08949892599999999,6.42,OUT010,2,0,0,1,15,0
46,1,NCP05,153.3024,2428.8384,0.06595278007399345,19.6,OUT045,1,0,1,2,11,7
47,0,FDV49,265.2226,5815.0972,0.025879577,10.0,OUT045,1,0,1,1,11,7
48,2,FDL12,60.622,2576.646,0.121632721,15.85,OUT046,0,0,1,1,16,8
49,2,FDS02,196.8794,780.3176,0.25539489600000004,12.792854228644991,OUT019,0,0,0,1,28,4
50,1,NCL17,143.8812,3134.5864,0.067779712,7.39,OUT046,0,0,1,2,16,8
51,0,FDM40,141.5154,850.8924,0.159803853,10.195,OUT013,2,2,1,1,26,1
52,2,FDR13,117.0492,810.9444,0.028696932,9.895,OUT013,2,2,1,1,26,1
53,0,FDA43,196.3794,3121.2704,0.065041581,10.895,OUT017,1,0,1,1,6,2
54,1,NCP18,151.4708,4815.0656,0.028760012999999997,12.15,OUT017,1,0,1,2,6,2
55,0,FDK21,249.0408,6258.52,0.010053105,7.905,OUT018,2,1,2,1,4,3
56,1,NCX54,106.1622,2117.244,0.048157338,9.195,OUT045,1,0,1,2,11,7
57,0,DRK35,38.0506,796.9626,0.071958197,8.365,OUT049,0,1,1,0,14,9
58,0,FDY21,194.511,4910.275,0.17348130399999998,15.1,OUT046,0,0,1,1,16,8
59,0,FDI26,180.0344,892.172,0.061082177,12.792854228644991,OUT019,0,0,0,1,28,4
60,0,FDM20,246.9144,3185.1872,0.06595278007399345,10.0,OUT018,2,1,2,1,4,3
61,2,FDV27,87.3514,1062.6168,0.040071131,7.97,OUT045,1,0,1,1,11,7
62,0,FDF09,38.2848,484.7024,0.012090074,12.792854228644991,OUT027,2,1,3,1,28,5
63,2,FDY40,51.0692,147.8076,0.15028599,12.792854228644991,OUT019,0,0,0,1,28,4
64,0,FDY45,255.8356,2543.356,0.026015518999999997,12.792854228644991,OUT027,2,1,3,1,28,5
65,0,FDC46,185.4266,184.4266,0.195068226,17.7,OUT010,2,0,0,1,15,0
66,0,FDH19,172.5738,4865.6664,0.033082215,19.35,OUT035,1,0,1,1,9,6
67,2,FDZ03,186.024,1118.5439999999999,0.078946455,13.65,OUT045,1,0,1,1,11,7
68,0,DRH37,164.8526,2302.3364,0.041700756,17.6,OUT045,1,0,1,0,11,7
69,1,NCI17,95.84100000000001,2027.361,0.14342264300000002,8.645,OUT046,0,0,1,2,16,8
70,2,FDJ58,170.1764,3435.528,0.10529607199999999,15.6,OUT046,0,0,1,1,16,8
71,2,FDL12,59.222,599.22,0.121531501,15.85,OUT013,2,2,1,1,26,1
72,0,FDH35,164.7526,4604.6728,0.06595278007399345,18.25,OUT045,1,0,1,1,11,7
73,0,FDG02,189.6188,2285.0256,0.011324862,7.855,OUT017,1,0,1,1,6,2
74,1,NCZ18,254.3698,5580.7356,0.186357148,7.825,OUT049,0,1,1,2,14,9
75,2,FDC29,114.0176,2290.3520000000003,0.024205661,8.39,OUT046,0,0,1,1,16,8
76,0,FDQ10,172.3422,1207.0954,0.033230816,12.85,OUT049,0,1,1,1,14,9
77,0,FDN48,89.9804,643.1628,0.113720344,12.792854228644991,OUT019,0,0,0,1,28,4
78,0,FDL04,104.9622,1587.933,0.11255650699999999,19.0,OUT017,1,0,1,1,6,2
79,0,FDV25,222.5456,5305.0944,0.06595278007399345,5.905,OUT045,1,0,1,1,11,7
80,0,FDD58,101.87,1697.79,0.05935224099999999,7.76,OUT046,0,0,1,1,16,8
81,2,FDN04,180.3344,1427.4752,0.014087057,11.8,OUT046,0,0,1,1,16,8
82,0,FDV45,187.9556,4693.89,0.045230944,16.75,OUT018,2,1,2,1,4,3
83,1,NCL18,194.6136,583.2408,0.293417759,12.792854228644991,OUT019,0,0,0,2,28,4
84,2,FDR12,171.3764,3091.9752,0.031382044,12.792854228644991,OUT027,2,1,3,1,28,5
85,2,FDG20,177.0028,2479.4392,0.12639886,15.5,OUT017,1,0,1,1,6,2
86,0,FDZ55,160.99200000000002,2716.4640000000004,0.025403897999999998,6.055,OUT035,1,0,1,1,9,6
87,2,FDQ49,155.963,3285.723,0.039057677,12.792854228644991,OUT027,2,1,3,1,28,5
88,2,FDN33,95.6436,661.8052,0.123115764,6.305,OUT046,0,0,1,1,16,8
89,0,FDN27,117.2808,1523.3504,0.039624006,20.85,OUT049,0,1,1,1,14,9
90,0,FDW20,122.17299999999999,369.519,0.040421193,20.75,OUT010,2,0,0,1,15,0
91,0,DRG27,39.9138,690.4346,0.10527411099999999,8.895,OUT049,0,1,1,0,14,9
92,0,DRI25,55.1614,1381.535,0.033970195,19.6,OUT045,1,0,1,0,11,7
93,0,FDA44,57.893,622.523,0.053212652,19.7,OUT035,1,0,1,1,9,6
94,1,NCR17,114.5492,1274.3412,0.024378706,9.8,OUT035,1,0,1,2,9,6
95,0,FDU04,120.0414,487.3656,0.009714595,12.792854228644991,OUT019,0,0,0,1,28,4
96,0,FDF41,246.046,1231.73,0.131383762,12.15,OUT049,0,1,1,1,14,9
97,2,FDB56,187.4556,3755.112,0.07461309,8.75,OUT035,1,0,1,1,9,6
98,1,NCP18,149.9708,4363.6532,0.028459761,12.792854228644991,OUT027,2,1,3,2,28,5
99,2,FDB56,187.8556,1314.2892,0.07462720099999999,8.75,OUT046,0,0,1,1,16,8
100,0,FDT28,151.0708,1805.6496,0.063695084,13.3,OUT045,1,0,1,1,11,7
101,2,FDD10,178.5344,2854.9504,0.045797829000000005,12.792854228644991,OUT027,2,1,3,1,28,5
102,2,FDW57,179.1028,3896.2616,0.11585722300000001,8.31,OUT049,0,1,1,1,14,9
103,2,DRB48,38.7822,667.7974,0.024832806000000002,16.75,OUT013,2,2,1,0,26,1
104,0,FDP09,212.0902,3185.853,0.034027909,19.75,OUT018,2,1,2,1,4,3
105,2,FDH14,141.1838,2247.7408,0.046769599999999995,17.1,OUT013,2,2,1,1,26,1
106,2,FDA47,163.121,1794.3310000000001,0.11657670199999999,10.5,OUT013,2,2,1,1,26,1
107,2,FDG12,121.3098,2530.7058,0.06595278007399345,6.635,OUT045,1,0,1,1,11,7
108,0,DRE60,225.372,679.1160000000001,0.278974075,12.792854228644991,OUT019,0,0,0,0,28,4
109,0,DRK49,41.4138,812.2760000000001,0.035913805,14.15,OUT013,2,2,1,0,26,1
110,0,FDD03,232.53,699.09,0.079806266,13.3,OUT046,0,0,1,1,16,8
111,0,FDS52,102.4016,2732.4432,0.005505481,8.89,OUT017,1,0,1,1,6,2
112,2,FDW39,176.937,176.437,0.064625342,12.792854228644991,OUT019,0,0,0,1,28,4
113,0,FDX34,121.7098,4097.3332,0.071636937,12.792854228644991,OUT027,2,1,3,1,28,5
114,2,FDV11,173.2054,3151.8972,0.06595278007399345,9.1,OUT045,1,0,1,1,11,7
115,0,FDD17,239.0906,5942.265,0.032677677999999995,7.5,OUT049,0,1,1,1,14,9
116,2,FDZ16,192.4478,4843.695,0.160760054,16.85,OUT017,1,0,1,1,6,2
117,0,FDZ46,109.0228,2542.0244,0.06911065,7.485,OUT035,1,0,1,1,9,6
118,0,DRA12,140.3154,2552.6772,0.041177505,11.6,OUT017,1,0,1,0,6,2
119,0,FDY58,227.0694,1141.847,0.040081193,11.65,OUT018,2,1,2,1,4,3
120,1,NCF19,47.5034,680.4476,0.035307322,13.0,OUT017,1,0,1,2,6,2
121,0,DRJ13,159.0578,2085.9514,0.063017847,12.65,OUT045,1,0,1,0,11,7
122,2,FDB14,92.512,186.424,0.171938781,20.25,OUT010,2,0,0,1,15,0
123,2,FDJ38,190.153,3036.048,0.040197932,8.6,OUT035,1,0,1,1,9,6
124,0,FDW11,62.7194,866.8716,0.049058014000000004,12.6,OUT017,1,0,1,1,6,2
125,0,FDL40,95.041,868.8689999999999,0.01161096,17.7,OUT035,1,0,1,1,9,6
126,0,DRI49,82.4276,1137.1864,0.183507295,14.15,OUT046,0,0,1,0,16,8
127,0,FDV38,52.7956,928.1252,0.102349519,19.25,OUT017,1,0,1,1,6,2
128,0,DRG23,151.7682,762.341,0.08670898699999999,8.88,OUT013,2,2,1,0,26,1
129,1,NCP30,40.2822,707.0796,0.032835147,20.5,OUT045,1,0,1,2,11,7
130,0,FDY25,180.5976,7968.2944,0.033809913,12.792854228644991,OUT027,2,1,3,1,28,5
131,1,NCH54,160.292,1438.128,0.07266912,13.5,OUT046,0,0,1,2,16,8
132,1,NCR53,224.4404,6976.2524,0.144338493,12.792854228644991,OUT027,2,1,3,2,28,5
133,0,FDS52,101.7016,101.2016,0.009163216,8.89,OUT010,2,0,0,1,15,0
134,0,FDG02,188.5188,952.0939999999999,0.011307038,7.855,OUT018,2,1,2,1,4,3
135,1,NCO26,116.0492,1969.4364,0.076855628,7.235,OUT046,0,0,1,2,16,8
136,0,FDH35,165.4526,5262.4832,0.059956876,12.792854228644991,OUT027,2,1,3,1,28,5
137,0,FDB51,60.5852,1314.2892,0.038532062,6.92,OUT045,1,0,1,1,11,7
138,0,FDX44,90.8172,535.3032,0.043209581,9.3,OUT017,1,0,1,1,6,2
139,1,NCN07,132.1284,263.6568,0.056816465,18.5,OUT010,2,0,0,2,15,0
140,1,NCC31,154.5972,1402.1748,0.019866705,8.02,OUT035,1,0,1,2,9,6
141,1,NCX54,105.1622,1693.7952,0.048331717,9.195,OUT017,1,0,1,2,6,2
142,1,NCO55,105.5938,2143.876,0.091221855,12.8,OUT045,1,0,1,2,11,7
143,1,NCC30,177.6344,2676.5159999999996,0.027622076000000002,16.6,OUT049,0,1,1,2,14,9
144,2,FDI16,53.06399999999999,905.488,0.06595278007399345,14.0,OUT035,1,0,1,1,9,6
145,0,FDP16,246.3802,7370.406,0.039355947,18.6,OUT049,0,1,1,1,14,9
146,0,FDB11,226.8404,6301.1312,0.060836524,16.0,OUT035,1,0,1,1,9,6
147,1,NCB06,160.692,1597.92,0.082316506,17.6,OUT035,1,0,1,2,9,6
148,0,FDA45,178.237,529.311,0.155350299,21.25,OUT035,1,0,1,1,9,6
149,1,NCO26,117.5492,1969.4364,0.076841095,7.235,OUT035,1,0,1,2,9,6
150,0,DRJ25,50.3692,1034.6532,0.151419185,14.6,OUT017,1,0,1,0,6,2
151,2,FDR28,161.52100000000002,1794.3310000000001,0.026001976,13.85,OUT018,2,1,2,1,4,3
152,2,FDI04,197.6426,2768.3964,0.073209447,13.65,OUT018,2,1,2,1,4,3
153,0,DRK12,31.29,898.83,0.041683481,12.792854228644991,OUT027,2,1,3,0,28,5
154,0,FDX20,226.172,3169.208,0.042560252,7.365,OUT046,0,0,1,1,16,8
155,1,NCI18,223.5746,3589.9936,0.014081156000000001,18.35,OUT018,2,1,2,2,4,3
156,2,FDB36,132.5626,262.3252,0.06595278007399345,5.465,OUT018,2,1,2,1,4,3
157,0,FDN13,99.8358,1910.1802,0.152918384,18.6,OUT017,1,0,1,1,6,2
158,0,DRD24,140.9154,1701.7848,0.030969273999999998,13.85,OUT017,1,0,1,0,6,2
159,2,FDQ28,154.5656,2471.4496,0.06037677599999999,14.0,OUT013,2,2,1,1,26,1
160,2,FDM22,54.763999999999996,1331.6,0.04192285,14.0,OUT013,2,2,1,1,26,1
161,0,FDR07,97.0094,1808.9786,0.077367431,12.792854228644991,OUT027,2,1,3,1,28,5
162,0,FDV25,222.5456,3315.684,0.045838211,5.905,OUT018,2,1,2,1,4,3
163,0,DRF49,114.2518,2618.5914,0.071077939,7.27,OUT046,0,0,1,0,16,8
164,2,FDW51,214.55599999999998,2769.728,0.09465987099999999,6.155,OUT046,0,0,1,1,16,8
165,2,DRL01,233.4958,5375.0034,0.077608838,19.5,OUT017,1,0,1,0,6,2
166,0,FDP25,216.8824,2838.9712,0.021327477,15.2,OUT017,1,0,1,1,6,2
167,2,FDL50,125.0046,1743.0644,0.042485444000000004,12.15,OUT018,2,1,2,1,4,3
168,1,NCB30,198.8084,5555.4352,0.025578526,12.792854228644991,OUT027,2,1,3,2,28,5
169,0,FDW11,61.9194,619.194,0.048980800000000005,12.6,OUT018,2,1,2,1,4,3
170,1,NCM43,164.821,2120.573,0.019471688,14.5,OUT035,1,0,1,2,9,6
171,0,FDK44,173.0738,3823.0236,0.122918852,16.6,OUT017,1,0,1,1,6,2
172,2,FDM15,151.4366,1360.2294,0.057373797000000004,11.8,OUT013,2,2,1,1,26,1
173,2,FDS31,178.8318,3969.4996,0.044155597000000005,13.1,OUT013,2,2,1,1,26,1
174,0,FDI32,115.1834,345.5502,0.291865402,17.7,OUT010,2,0,0,1,15,0
175,0,FDR47,196.5794,585.2382,0.06595278007399345,17.85,OUT010,2,0,0,1,15,0
176,2,FDB35,92.6804,1010.6844,0.064750025,12.3,OUT045,1,0,1,1,11,7
177,1,NCU05,81.4618,161.1236,0.098312421,11.8,OUT010,2,0,0,2,15,0
178,2,DRY23,42.1112,42.6112,0.191013663,12.792854228644991,OUT019,0,0,0,0,28,4
179,0,FDO24,157.4604,3010.7476,0.176573035,11.1,OUT045,1,0,1,1,11,7
180,2,FDQ28,153.0656,6024.1584,0.060134441,12.792854228644991,OUT027,2,1,3,1,28,5
181,0,FDV39,198.1426,988.7130000000001,0.0072946519999999996,11.3,OUT045,1,0,1,1,11,7
182,1,NCO17,117.944,239.688,0.128478462,12.792854228644991,OUT019,0,0,0,2,28,4
183,2,FDU50,112.8176,1374.2112,0.075107656,5.75,OUT013,2,2,1,1,26,1
184,2,FDT12,226.8062,4739.8302,0.049381405999999996,12.792854228644991,OUT027,2,1,3,1,28,5
185,2,FDK58,100.0016,1012.0160000000001,0.045165795999999994,11.35,OUT018,2,1,2,1,4,3
186,2,FDO08,165.7526,657.8104,0.09415375,12.792854228644991,OUT019,0,0,0,1,28,4
187,1,NCW29,130.431,778.9860000000001,0.028907832,14.0,OUT049,0,1,1,2,14,9
188,2,FDE04,179.766,2336.958,0.018059621,19.75,OUT045,1,0,1,1,11,7
189,1,NCB19,85.0882,2233.0932,0.09043609400000001,6.525,OUT049,0,1,1,2,14,9
190,0,FDV15,103.9648,1661.8368,0.146399712,10.3,OUT049,0,1,1,1,14,9
191,2,FDL58,264.7568,4745.8224,0.07426435599999999,5.78,OUT049,0,1,1,1,14,9
192,2,FDA08,164.1526,3124.5994,0.050186725999999994,11.85,OUT045,1,0,1,1,11,7
193,0,FDT43,50.1324,467.3916,0.020631654,16.35,OUT018,2,1,2,1,4,3
194,1,NCX06,182.5976,5070.7328,0.01561108,12.792854228644991,OUT027,2,1,3,2,28,5
195,0,FDT20,37.6164,540.6296,0.041395445,10.5,OUT046,0,0,1,1,16,8
196,2,FDB41,48.0718,992.7078,0.097313129,19.0,OUT046,0,0,1,1,16,8
197,1,NCN55,238.8538,6008.845,0.059582996,14.6,OUT049,0,1,1,2,14,9
198,2,FDE40,62.9194,2105.2596,0.09866365199999999,12.792854228644991,OUT027,2,1,3,1,28,5
199,2,FDX49,232.63,5359.69,0.101338651,12.792854228644991,OUT027,2,1,3,1,28,5
200,1,NCM53,104.62799999999999,745.696,0.052146455999999994,18.75,OUT045,1,0,1,2,11,7
201,2,FDE36,161.8868,3275.736,0.041764487,5.26,OUT035,1,0,1,1,9,6
202,0,FDN57,140.2154,1701.7848,0.054344185999999996,18.25,OUT045,1,0,1,1,11,7
203,0,FDI24,177.937,6704.606,0.07836248400000001,12.792854228644991,OUT027,2,1,3,1,28,5
204,0,FDI19,242.7512,4119.9704,0.052339069,15.1,OUT046,0,0,1,1,16,8
205,2,FDF24,81.5934,327.5736,0.042464962,15.5,OUT010,2,0,0,1,15,0
206,0,FDG52,45.7402,780.9834,0.06573288299999999,13.65,OUT049,0,1,1,1,14,9
207,0,DRF36,189.3846,3630.6074,0.023625114,16.1,OUT045,1,0,1,0,11,7
208,2,FDS45,107.3622,317.5866,0.051643608,12.792854228644991,OUT019,0,0,0,1,28,4
209,0,FDX40,39.7164,231.6984,0.165694219,12.85,OUT010,2,0,0,1,15,0
210,0,DRK12,32.99,133.16,0.041878397000000005,9.5,OUT035,1,0,1,0,9,6
211,0,DRC27,245.1802,5650.6446,0.058091482,13.8,OUT035,1,0,1,0,9,6
212,2,FDL58,263.7568,2636.5679999999998,0.06595278007399345,5.78,OUT017,1,0,1,1,6,2
213,1,NCD30,96.0726,1272.3438,0.026903714,19.7,OUT045,1,0,1,2,11,7
214,1,NCZ54,161.5552,324.9104,0.06595278007399345,14.65,OUT010,2,0,0,2,15,0
215,2,FDE10,130.0626,131.1626,0.150554711,6.67,OUT010,2,0,0,1,15,0
216,2,FDR44,131.2968,260.9936,0.06595278007399345,6.11,OUT010,2,0,0,1,15,0
217,2,FDP28,260.0936,260.9936,0.13497562800000001,13.65,OUT010,2,0,0,1,15,0
218,0,FDX15,160.6578,3690.5294,0.15616879,17.2,OUT013,2,2,1,1,26,1
219,0,FDA39,40.2822,1139.1838,0.06595278007399345,6.32,OUT035,1,0,1,1,9,6
220,2,FDY24,52.9298,1995.4026,0.133700752,4.88,OUT049,0,1,1,1,14,9
221,2,FDC60,88.3514,1416.8224,0.115119905,5.425,OUT017,1,0,1,1,6,2
222,2,FDH28,37.2506,265.6542,0.11003099699999999,15.85,OUT046,0,0,1,1,16,8
223,0,FDT25,121.7072,3552.7088,0.051038045,7.5,OUT017,1,0,1,1,6,2
224,0,DRJ13,161.5578,2406.867,0.062837968,12.65,OUT013,2,2,1,0,26,1
225,1,NCO07,211.956,213.05599999999998,0.017116983,12.792854228644991,OUT019,0,0,0,2,28,4
226,0,FDW20,124.17299999999999,2956.152,0.024129332000000003,20.75,OUT013,2,2,1,1,26,1
227,0,DRF27,152.134,153.134,0.049754975,12.792854228644991,OUT019,0,0,0,0,28,4
228,0,FDS49,79.7644,1649.8524,0.06595278007399345,9.0,OUT035,1,0,1,1,9,6
229,0,FDX25,181.9292,3101.2964,0.101561568,12.792854228644991,OUT027,2,1,3,1,28,5
230,1,NCX42,165.6526,4769.1254,0.0059496440000000005,12.792854228644991,OUT027,2,1,3,2,28,5
231,2,FDG33,170.4764,3435.528,0.13956116,12.792854228644991,OUT027,2,1,3,1,28,5
232,0,FDL56,86.4198,1133.8574,0.126035694,14.1,OUT045,1,0,1,1,11,7
233,0,FDF14,152.334,2603.278,0.027164679,7.55,OUT035,1,0,1,1,9,6
234,1,NCD06,45.406000000000006,605.878,0.099325278,13.0,OUT046,0,0,1,2,16,8
235,0,DRM47,192.8846,2293.0152,0.04357366,12.792854228644991,OUT027,2,1,3,0,28,5
236,2,FDS46,118.7782,119.1782,0.082741482,12.792854228644991,OUT019,0,0,0,1,28,4
237,2,FDB35,92.9804,1929.4884,0.064565202,12.3,OUT013,2,2,1,1,26,1
238,0,FDX21,109.8912,2074.6328,0.08455456900000001,12.792854228644991,OUT027,2,1,3,1,28,5
239,1,NCU05,79.9618,241.6854,0.058451805,12.792854228644991,OUT027,2,1,3,2,28,5
240,1,NCR38,251.3724,6795.1548,0.113748685,17.25,OUT045,1,0,1,2,11,7
241,1,NCR18,42.7112,639.168,0.020603511,15.85,OUT017,1,0,1,2,6,2
242,1,NCU41,192.1846,3248.4382,0.052044976,18.85,OUT035,1,0,1,2,9,6
243,2,FDY56,227.6062,7222.5984,0.06276442900000001,16.35,OUT017,1,0,1,1,6,2
244,0,DRJ51,229.0668,3225.1352,0.08797726199999999,14.1,OUT035,1,0,1,0,9,6
245,0,FDK21,249.0408,3755.112,0.010010425,7.905,OUT035,1,0,1,1,9,6
246,0,FDY25,179.3976,3440.8544,0.033946163,12.0,OUT013,2,2,1,1,26,1
247,2,FDU44,163.4552,974.7312,0.058414678,12.15,OUT035,1,0,1,1,9,6
248,0,FDL43,75.367,535.969,0.027106459,10.1,OUT049,0,1,1,1,14,9
249,0,FDF05,262.491,5259.82,0.027022882999999998,17.5,OUT017,1,0,1,1,6,2
250,0,DRF15,152.034,306.268,0.058153409,12.792854228644991,OUT019,0,0,0,0,28,4
251,0,FDL20,112.3886,1779.0176,0.128937661,17.1,OUT018,2,1,2,1,4,3
252,0,FDV32,61.451,759.012,0.088846306,7.785,OUT049,0,1,1,1,14,9
253,2,FDJ34,125.9704,1877.556,0.09357779,11.8,OUT013,2,2,1,1,26,1
254,2,FDG08,171.8764,3779.0808,0.165694678,13.15,OUT045,1,0,1,1,11,7
255,0,FDQ04,41.5796,41.2796,0.148392623,12.792854228644991,OUT019,0,0,0,1,28,4
256,0,FDW13,51.1324,259.66200000000003,0.098438394,8.5,OUT017,1,0,1,1,6,2
257,1,NCI17,96.34100000000001,193.082,0.143303291,8.645,OUT013,2,2,1,2,26,1
258,2,FDY03,110.9202,1687.8029999999999,0.076276208,17.6,OUT045,1,0,1,1,11,7
259,0,FDS12,127.5362,4655.9394,0.175103435,9.1,OUT017,1,0,1,1,6,2
260,2,FDJ55,225.9404,4950.8888,0.023511371,12.8,OUT013,2,2,1,1,26,1
261,0,DRK01,95.4436,1418.154,0.06105276,7.63,OUT035,1,0,1,0,9,6
262,2,FDG28,246.4144,1225.072,0.049559042000000005,9.285,OUT017,1,0,1,1,6,2
263,2,FDY38,231.03,5359.69,0.119418124,13.6,OUT045,1,0,1,1,11,7
264,0,FDN01,176.237,1764.37,0.072545601,8.895,OUT045,1,0,1,1,11,7
265,1,NCR54,195.21099999999998,2553.343,0.090486828,16.35,OUT013,2,2,1,2,26,1
266,0,FDG29,43.3454,1006.6896,0.056245075,17.6,OUT013,2,2,1,1,26,1
267,0,FDG24,85.225,1081.925,0.014618973,7.975,OUT013,2,2,1,1,26,1
268,0,FDG59,36.7164,308.9312,0.04347912599999999,15.85,OUT017,1,0,1,1,6,2
269,0,FDM28,178.666,2516.724,0.045166237000000005,15.7,OUT013,2,2,1,1,26,1
270,2,FDW04,128.83100000000002,1428.141,0.057827101,8.985,OUT046,0,0,1,1,16,8
271,0,FDS26,260.1594,2093.2752,0.089394766,20.35,OUT013,2,2,1,1,26,1
272,0,FDQ56,85.6908,1929.4884,0.10550944,6.59,OUT013,2,2,1,1,26,1
273,0,FDK51,264.0884,5829.7448,0.005234153,19.85,OUT035,1,0,1,1,9,6
274,0,FDL22,91.4488,2082.6224,0.036390174,16.85,OUT046,0,0,1,1,16,8
275,0,FDH19,173.1738,7298.4996,0.03292824,12.792854228644991,OUT027,2,1,3,1,28,5
276,0,FDY55,256.4988,7452.9652,0.081252534,16.75,OUT013,2,2,1,1,26,1
277,2,FDY03,110.5202,450.0808,0.076552407,17.6,OUT017,1,0,1,1,6,2
278,0,FDK21,250.4408,500.6816,0.016758568999999997,7.905,OUT010,2,0,0,1,15,0
279,0,FDZ10,126.20200000000001,3668.558,0.044248175,12.792854228644991,OUT027,2,1,3,1,28,5
280,2,FDZ32,103.1964,736.3748,0.038288087,7.785,OUT018,2,1,2,1,4,3
281,1,NCZ18,253.0698,6088.0752,0.186032678,7.825,OUT035,1,0,1,2,9,6
282,1,NCF07,101.0016,2125.2336,0.031867464,12.792854228644991,OUT027,2,1,3,2,28,5
283,0,DRE49,153.0024,2277.036,0.021370201000000002,20.75,OUT017,1,0,1,0,6,2
