,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
78,DRP47,OUT019,2647.8802986134747
79,FDA14,OUT013,1940.7302426920596
80,DRC24,OUT035,2288.0466398847134
81,FDW21,OUT018,2222.48138526837
82,NCH29,OUT046,1593.151493079873
83,FDU58,OUT013,2734.3401412710145
84,FDY27,OUT017,2414.67241072854
85,FDV56,OUT035,1643.28935705794
86,FDT59,OUT046,3700.5091162805425
87,FDB23,OUT046,3686.9732718229584
88,FDR49,OUT045,473.2192383194638
89,FDB03,OUT010,2041.0453526630772
90,FDN39,OUT045,2602.742559909962
91,FDX02,OUT027,4924.384668234579
92,FDQ16,OUT027,3152.41291609644
93,FDU35,OUT018,2034.0542857021328
94,NCT29,OUT013,1577.1693299193084
95,FDZ27,OUT046,861.2476088770404
96,FDN57,OUT017,1791.7251293389272
97,FDA03,OUT018,2851.257455992496
98,FDZ36,OUT045,2816.7129214077327
99,NCU05,OUT013,948.083224791362
100,FDT39,OUT018,3002.0708821310373
101,FDK60,OUT017,1108.8058530614062
102,FDZ25,OUT017,2337.8382340356593
103,FDG12,OUT046,2083.657357861558
104,DRB01,OUT019,1862.6111773091834
105,NCC43,OUT027,5286.652241809852
106,FDX13,OUT019,2812.302033816503
107,FDM22,OUT049,1136.579217347652
108,FDJ03,OUT027,2238.57892393569
109,FDU14,OUT018,4494.242540639845
110,FDB33,OUT010,1072.1130555951595
111,FDP27,OUT046,2917.431652480481
112,FDO38,OUT010,-365.02794056632695
113,FDE28,OUT027,4996.014778467044
114,FDO27,OUT035,1174.372926787065
115,DRL23,OUT027,3218.4447074767
116,FDS28,OUT046,931.2917300726576
117,FDX24,OUT013,1207.703228884443
118,FDZ02,OUT035,1414.00869355449
119,FDL46,OUT045,1702.94423172409
120,FDS60,OUT027,4272.400683245001
121,NCO06,OUT017,24.218765839352045
122,FDO16,OUT035,1216.3383560329203
123,FDC60,OUT049,1560.2252285482432
124,FDA48,OUT018,3853.630973149135
125,FDZ36,OUT027,4495.470489084526
126,FDK27,OUT045,1839.0069370511887
127,FDW23,OUT018,1085.4812605601746
128,FDM14,OUT018,2300.8405374547106
129,FDM14,OUT013,1449.4605982773037
130,FDW60,OUT018,3406.8718111434523
131,FDE21,OUT013,1562.7459835511017
132,NCM42,OUT035,1571.7498979110615
133,FDY59,OUT010,19.85930728465155
134,DRI49,OUT049,1333.2845789480443
135,FDT28,OUT019,1252.4589938414933
136,FDQ22,OUT018,1174.0649423477066
137,FDR60,OUT049,1308.3047220192166
138,FDC50,OUT019,168.14214906135658
139,FDV24,OUT013,1989.9661977201058
140,DRF48,OUT010,1610.8886911429458
141,FDQ47,OUT046,493.5617415166266
142,DRN36,OUT049,1795.3447710413298
143,NCY06,OUT035,1812.6569416366724
144,FDE52,OUT035,1318.7274202469162
145,NCB54,OUT045,1863.4475980144325
146,NCF31,OUT035,2205.2578713649705
147,FDJ08,OUT027,4319.920463199871
148,NCC07,OUT017,1296.1806064403136
149,NCD19,OUT027,2347.5405264835194
150,FDL46,OUT049,2173.117452706039
151,FDM20,OUT045,3747.099751383242
152,NCI06,OUT010,1312.8990797044517
153,DRM11,OUT035,3889.9604079306423
154,NCH07,OUT018,2918.09300208349
155,FDS23,OUT013,1583.3464287646948
156,FDO49,OUT018,1373.2572317513705
157,FDS35,OUT049,1166.933182486414
158,DRK39,OUT045,1217.0591413743805
159,DRI39,OUT049,1112.790030189325
160,FDV04,OUT017,1971.47850266571
161,NCN14,OUT035,2601.5873779938333
162,FDH08,OUT013,3360.3089935520243
163,FDS20,OUT046,2902.7935827239826
164,FDV40,OUT049,1473.5058624902335
165,FDZ48,OUT010,153.54789661642917
166,FDS24,OUT027,2857.087513596399
167,FDK44,OUT049,2843.537099567529
168,FDS48,OUT045,2314.6382346119244
169,FDK26,OUT010,1519.7807231249544
170,FDD23,OUT045,2886.441097727747
171,NCH54,OUT017,2084.6252872750993
172,NCP14,OUT010,-3.4534872513072514
173,FDM60,OUT010,-823.3089471652962
174,FDV24,OUT017,1890.7347615041426
175,FDH08,OUT018,4146.251960946065
176,FDS12,OUT027,3251.486162316139
177,FDR39,OUT027,4219.970050378399
178,FDP12,OUT027,2088.7903631456074
179,DRF60,OUT027,5174.630425434982
180,FDC09,OUT035,1526.4636468151675
181,FDF50,OUT018,3517.375548508037
182,FDG28,OUT035,3692.345268848572
183,NCE19,OUT017,404.2724857128526
184,NCM53,OUT010,171.69963879464785
185,NCN18,OUT049,2047.159435682131
186,FDF32,OUT035,2908.331622932889
187,FDF11,OUT013,3540.7024167532986
188,DRI59,OUT049,3804.572777650889
189,NCG54,OUT035,2422.1183327376557
190,FDM44,OUT046,1665.6514496216587
191,FDT57,OUT018,4254.394674055944
192,FDV24,OUT046,2330.5171227846163
193,FDI50,OUT019,2588.421734860372
194,FDS09,OUT035,640.8797401584588
195,NCC31,OUT027,3907.1913391699522
196,FDQ07,OUT019,2293.703741376762
197,FDC22,OUT017,2521.028690889362
198,FDZ56,OUT046,2729.856755368588
199,FDZ40,OUT019,-198.13022001161642
200,FDS46,OUT027,3360.875933257686
201,DRD24,OUT045,2147.778740273322
202,FDV45,OUT017,2566.410007136411
203,FDL26,OUT045,2278.8799356973955
204,FDA56,OUT018,2512.096095424862
205,FDN27,OUT046,1908.1033426797098
206,FDM20,OUT049,4081.1408826611437
207,FDO16,OUT017,965.7388235677654
208,FDL03,OUT035,2969.1735595124824
209,FDE58,OUT046,1871.47211857408
210,FDI02,OUT027,3158.2266108759436
211,NCC55,OUT019,-507.00989224974353
212,FDR03,OUT018,3849.0872160143886
213,FDB14,OUT017,1020.6664064830434
214,FDR45,OUT013,3492.8195280117793
215,NCN07,OUT017,1653.5437236552616
216,FDM51,OUT019,646.7392872705645
217,FDT52,OUT027,5331.084883614263
218,FDL26,OUT046,2418.7400088935865
219,NCZ42,OUT046,3831.246911272348
220,DRI47,OUT019,1318.3194116369114
221,FDW40,OUT013,1868.5706775611943
222,FDN34,OUT046,2821.550166629167
223,FDS01,OUT035,2668.061407159852
224,NCG55,OUT045,1709.2233792627035
225,FDC11,OUT035,1048.3908487820727
226,FDX35,OUT018,4062.8572888775475
227,NCB06,OUT046,2490.5490469395577
228,FDR09,OUT019,2904.516575463621
229,FDC53,OUT017,1193.536134318013
230,FDY45,OUT013,3757.5407987236554
231,FDA22,OUT010,1040.0603192961648
232,FDE02,OUT035,1211.0381049401826
233,FDW21,OUT045,1590.7685510095348
234,FDV34,OUT046,1317.5873397991259
235,FDS59,OUT049,2006.4871688756516
236,NCW17,OUT017,1644.0423417914553
237,NCK54,OUT046,1905.810332132507
238,FDG17,OUT019,2830.073406242184
239,FDG35,OUT017,2437.6962660523504
240,FDD08,OUT010,-864.2946898363007
241,NCO07,OUT017,2961.6469675111884
242,FDJ10,OUT010,565.2217562183146
243,FDW36,OUT017,1225.8098498138897
244,FDW21,OUT010,268.2032042467181
245,FDY19,OUT017,1463.0594748694548
246,DRE03,OUT013,510.96395223317177
247,NCC55,OUT049,811.0286254180457
248,FDH52,OUT010,-434.17804969800056
249,FDO09,OUT017,3668.515029329959
250,FDU43,OUT045,3657.345999038054
251,FDX09,OUT010,1191.8426422429925
252,FDH40,OUT019,200.77956748849965
253,FDW58,OUT017,1305.0735182894114
254,FDC47,OUT017,3042.6949866510636
255,NCR41,OUT035,1347.3951590676938
256,DRG49,OUT035,3659.928774498029
257,FDC52,OUT027,3950.4881453635094
258,FDY13,OUT046,1249.5352177924556
259,FDY35,OUT013,495.4687669298712
260,FDI35,OUT017,2459.0660299668552
261,NCU18,OUT049,2428.960876721823
262,FDY33,OUT018,2972.143941221976
263,FDC15,OUT027,3710.8808840164033
264,FDU01,OUT049,3277.3871019036
265,NCU42,OUT046,2738.7248464280983
266,NCV29,OUT018,3329.8079129946623
267,NCY30,OUT017,2488.5428897507845
268,FDQ46,OUT049,1909.8068138141002
269,FDG58,OUT027,3849.750368339955
270,FDK33,OUT017,2995.2066627498207
271,NCD07,OUT045,1678.9600445429955
272,NCX29,OUT027,3638.669147749942
273,NCT42,OUT013,2051.872561225111
274,DRN59,OUT035,564.160643349288
275,FDI44,OUT035,986.8503189488124
276,FDA45,OUT049,2847.81765103144
277,FDP31,OUT045,785.4471172042104
278,FDY01,OUT046,1711.19731669451
279,FDT09,OUT018,2707.475095991398
280,DRH03,OUT027,3051.4601747535185
281,FDA36,OUT018,3510.310860507698
282,NCF31,OUT017,1994.8045031249985
283,FDG14,OUT049,2655.940300234625
284,FDG28,OUT027,5337.493030540107
285,FDU14,OUT049,4162.849641064164
286,FDY47,OUT019,1016.5254148021836
287,FDI56,OUT049,1588.0271874422529
288,DRD01,OUT013,655.4687524377655
289,FDM22,OUT046,1041.8682056988678
290,FDH33,OUT013,249.8333450253822
291,DRZ24,OUT013,1538.422950792944
292,NCQ38,OUT046,1742.2202861723745
293,FDO16,OUT027,2824.551342305872
294,FDU07,OUT027,3769.0992321764584
295,NCB07,OUT013,2678.608639597075
296,FDU48,OUT045,1938.238677683602
297,NCM43,OUT045,2503.2987728566673
298,FDR31,OUT010,811.787639312432
299,DRK49,OUT018,1224.608531576423
300,NCI30,OUT010,2278.2759685762167
301,DRD60,OUT017,2490.1123614929675
302,NCG19,OUT046,3551.770672363296
303,FDH12,OUT035,1420.1442720759796
304,FDM32,OUT035,1307.9295917844793
305,FDM27,OUT035,2148.83254993814
306,NCU53,OUT027,4112.916349256502
307,NCQ18,OUT046,1454.2914546868496
308,FDS10,OUT013,2515.302752739636
309,FDB33,OUT027,3968.4273675291256
310,FDI12,OUT013,1017.9708468535491
311,NCW42,OUT013,3129.0015532690245
312,NCC06,OUT018,2554.9989693723132
313,FDW02,OUT017,1652.6335156119248
314,NCD43,OUT017,1287.7045716619523
315,FDM57,OUT018,1831.8535022175124
316,FDA58,OUT017,3220.394275638018
317,FDK56,OUT046,2814.5657340309867
318,FDP52,OUT045,3621.8984303278817
319,FDW20,OUT018,2494.638643582849
320,FDS52,OUT049,1882.8814382418536
321,NCT29,OUT018,2362.7473099171625
322,NCL54,OUT013,2395.620575829821
323,FDC05,OUT045,2954.9916963324963
324,FDF34,OUT035,3014.965927114234
325,FDP03,OUT027,3433.176961450195
326,FDD32,OUT010,-126.17413485986208
327,FDZ10,OUT045,1955.238557624531
328,FDZ40,OUT035,699.2977667586979
329,FDD51,OUT018,1098.5472055441028
330,NCY30,OUT019,1789.7453438140378
331,FDP58,OUT017,2873.975114977513
332,FDV49,OUT017,3772.0488401142597
333,FDY24,OUT019,-429.52081649446257
334,NCO55,OUT017,1210.0730963107035
335,FDR13,OUT017,1520.1875992301038
336,FDS51,OUT017,609.3714972983769
337,FDP26,OUT045,1384.170843743495
338,NCB54,OUT027,3464.3464546714563
339,FDF32,OUT017,2654.124079088635
340,FDN31,OUT018,3437.5559327005326
341,DRM48,OUT017,109.92289564370185
342,FDN20,OUT049,2912.154599851579
343,DRL01,OUT046,3850.401469112919
344,FDV56,OUT049,2024.4753512254615
345,DRH13,OUT027,3214.709787678727
346,FDA03,OUT017,1938.8696034840223
347,FDF47,OUT027,4871.490420620208
348,FDX32,OUT046,2308.6827142936554
349,FDX57,OUT049,1802.5489962334555
350,NCA30,OUT045,2721.561670012262
351,FDO49,OUT013,554.7342130301115
352,FDL04,OUT019,399.4931516634854
353,DRM48,OUT035,352.0899787939188
354,FDR16,OUT013,2981.7997018356828
355,NCC19,OUT018,3448.4534805521057
356,NCE42,OUT045,3609.178244778948
357,FDY24,OUT017,394.32747887568416
358,FDH19,OUT049,3001.2049182063497
359,FDJ46,OUT013,2415.936383650661
360,FDN45,OUT010,1816.2157644592162
361,FDY08,OUT035,1879.74120802999
362,FDZ37,OUT035,1290.6591583534164
363,NCT30,OUT045,575.9630278702825
364,DRY23,OUT018,1175.3392645216727
365,NCZ30,OUT018,2456.3596535375273
366,FDC44,OUT018,2094.9624910576167
367,FDB45,OUT035,1508.1781416665553
368,FDY04,OUT013,2309.227142522732
369,FDM27,OUT046,2662.932626263512
370,FDZ43,OUT017,3414.426700978183
371,FDT39,OUT019,1446.3354585143816
372,NCC06,OUT019,963.6389963932502
373,FDL15,OUT027,3857.5083160478275
374,FDL57,OUT017,3649.267342128523
375,FDU08,OUT046,1631.0386068245903
376,FDK40,OUT017,3776.705060276367
377,FDQ12,OUT010,2111.02869380833
378,FDS48,OUT017,2003.5882471529767
379,FDP09,OUT045,3217.1546899785703
380,FDW21,OUT049,1915.4415128876576
381,FDY25,OUT035,2684.4429065943445
382,DRE13,OUT017,1021.9701745642592
383,FDV43,OUT019,-475.2076150489147
384,FDD22,OUT045,1555.864584941448
385,FDM46,OUT019,71.54493912224825
386,NCO30,OUT010,1463.020653605136
387,FDM25,OUT046,2798.963972741382
388,NCN41,OUT049,2144.2634396804174
389,FDU24,OUT045,1258.370660395101
390,FDZ50,OUT046,2923.8446063610677
391,FDP45,OUT013,3703.666175322461
392,NCM54,OUT045,1844.41637033484
393,FDW10,OUT019,1607.388621480667
394,FDP20,OUT017,1609.5699269018824
395,FDK32,OUT046,2460.517753580102
396,FDN52,OUT049,1536.1433048527829
397,FDM58,OUT045,1752.0957126228795
398,FDZ46,OUT027,3156.1877375109702
399,NCA18,OUT018,2335.2695335137946
400,FDD35,OUT046,1992.517648340156
401,NCK31,OUT035,637.5721136977918
402,FDI40,OUT027,2958.7648698672742
403,FDT50,OUT019,347.09119805313844
404,NCT06,OUT046,2628.744622371239
405,FDT31,OUT035,2819.54227448799
406,FDT45,OUT049,1059.031688058696
407,FDT13,OUT045,2855.91077553223
408,FDO50,OUT045,1262.6890588289016
409,NCU18,OUT010,671.8872141866509
410,NCR54,OUT049,3208.3808667008657
411,NCO18,OUT018,3335.399210152537
412,FDU09,OUT045,798.8269784649983
413,FDT13,OUT018,3496.92599290935
414,FDE09,OUT046,1851.6310682631906
415,NCK53,OUT019,534.9607814298681
416,FDG45,OUT049,3650.078190664806
417,DRH15,OUT035,481.7479325398913
418,FDO21,OUT019,2588.149952738233
419,FDD14,OUT027,4139.574961561893
420,FDC09,OUT046,1744.4360059427504
421,FDH45,OUT027,2098.7638112326313
422,FDV32,OUT046,1010.729073019188
423,FDG12,OUT035,1818.9615460690284
424,FDS32,OUT013,1970.868268511551
425,NCL55,OUT018,4407.794802716442
426,DRE01,OUT035,3480.955463030446
427,DRE15,OUT049,1530.9551966651811
428,NCL42,OUT045,3742.441682650427
429,FDP31,OUT013,572.6609628184117
430,FDN33,OUT018,1923.9496117396657
431,FDZ59,OUT046,2593.5266697569814
432,FDE45,OUT010,1307.088716194517
433,FDJ07,OUT013,1610.4540992027723
434,FDQ45,OUT018,3517.27007861014
435,FDM33,OUT027,4814.080411037896
436,FDO15,OUT010,-156.3938489775387
437,FDM46,OUT013,975.2414023086444
438,FDR03,OUT045,3212.7116751666413
439,FDY49,OUT018,3229.65182859901
440,FDQ60,OUT045,1704.9765671259875
441,FDW10,OUT049,3063.1726532782454
442,FDO51,OUT049,1009.5010759510224
443,FDJ40,OUT018,2274.4113704920355
444,FDS20,OUT018,3361.850434659837
445,FDU45,OUT013,1531.0614174553193
446,FDV02,OUT035,2457.0834687652223
447,FDN09,OUT046,3852.4148350379833
448,NCM55,OUT027,4332.677321376306
449,FDN23,OUT018,2795.7293970377505
450,FDY31,OUT010,786.0743975796845
451,FDW03,OUT010,288.11863771577646
452,FDD14,OUT046,2716.654731617075
453,FDV23,OUT017,1484.5480352218492
454,DRI03,OUT045,2712.0759456889614
455,FDN13,OUT035,1218.844616732215
456,FDF45,OUT027,2504.1142036881647
457,FDU46,OUT035,1316.0205451740917
458,FDB57,OUT049,3806.18463068109
459,FDV12,OUT049,1927.1147052327128
460,FDQ58,OUT013,2118.5363128680156
461,NCA18,OUT017,1404.1679339769717
462,FDH52,OUT049,1335.0266596715064
463,FDM24,OUT018,2875.424221439659
464,NCP43,OUT027,4304.063141382812
465,NCO18,OUT019,1744.6522531333567
466,FDM32,OUT017,1077.523069072411
467,NCL07,OUT017,226.76057720399808
468,FDK03,OUT013,3664.150674897543
469,FDP59,OUT017,1244.7447445401467
470,FDQ24,OUT049,4227.374258900405
471,FDQ16,OUT018,2243.199640819372
472,FDU44,OUT013,2247.4054357322393
473,FDH28,OUT010,-1003.5031653620287
474,FDV28,OUT019,-763.9427387935046
475,FDM22,OUT045,796.3066278417014
476,FDR56,OUT046,3079.3484772329107
477,FDV39,OUT049,3380.2909557008566
478,FDU37,OUT019,88.4219685666385
479,FDQ11,OUT010,2688.921340606313
480,FDX02,OUT045,3360.8465047314344
481,NCS42,OUT018,1932.8139692210639
482,FDY57,OUT027,2874.3981220713185
483,FDB21,OUT049,3858.6975599050133
484,FDE28,OUT017,3117.1059488646692
485,FDQ55,OUT017,1490.5198734293945
486,FDA48,OUT049,3609.3182287133855
487,FDZ19,OUT045,2543.131930942698
488,NCC43,OUT045,3750.0046489611827
489,NCV18,OUT046,1238.9941193376367
490,NCA42,OUT018,3033.979954928833
491,FDY45,OUT046,4083.0372376350165
492,NCC30,OUT045,2702.5718596621846
493,FDM57,OUT013,1047.924549155603
494,FDL09,OUT010,941.3957905160319
495,FDB09,OUT027,3392.5197009893122
496,FDT44,OUT035,1602.1436742381989
497,NCT06,OUT027,4028.1176335182768
498,FDX26,OUT049,3037.2361096892223
499,FDK32,OUT013,2141.6962840734323
500,DRA12,OUT046,2331.9311965851043
501,FDO46,OUT010,1580.069171676425
502,FDE52,OUT013,1141.5467716360163
503,NCH42,OUT045,3494.370415011945
504,FDV08,OUT035,530.5874660245127
505,FDB47,OUT018,3776.5342726733893
506,FDC28,OUT010,215.31055850138227
507,FDD22,OUT046,1750.3138439782692
508,FDS07,OUT027,3176.5707665893
509,DRI13,OUT045,3352.272974904114
510,FDG32,OUT018,3793.9577190815676
511,FDU14,OUT017,3534.0543942689424
512,FDD28,OUT019,-159.03352562314728
513,NCP41,OUT017,1364.4270240670194
514,FDS08,OUT049,2964.961856991735
515,FDX47,OUT045,2427.1098143281497
516,FDC53,OUT019,613.597733644604
517,FDQ19,OUT035,3706.183447095727
518,FDL14,OUT045,2389.038603838837
519,FDM33,OUT019,2273.7150362403418
520,FDA51,OUT045,1528.9212531358849
521,FDZ27,OUT018,1340.78702136853
522,FDT04,OUT046,605.3462374168284
523,DRC13,OUT049,2307.075838018041
524,FDR16,OUT027,4769.572723836327
525,FDQ03,OUT027,5147.257214680198
526,FDE38,OUT035,2463.6653327770427
527,DRH23,OUT027,2193.45520681986
528,FDT11,OUT019,1968.3859210053697
529,FDD09,OUT035,2681.570111725555
530,FDR40,OUT045,1303.984730300721
531,FDX07,OUT017,2564.5191112113816
532,FDR07,OUT035,1299.2844739026914
533,FDA51,OUT017,1266.1150289523011
534,FDT59,OUT019,2615.602774454993
535,FDF20,OUT017,2680.056754632633
536,FDR13,OUT045,1769.74961577372
537,FDY26,OUT049,3598.0278292943926
538,FDW04,OUT017,1679.3888408836974
539,FDK52,OUT017,3098.5560215505534
540,FDN60,OUT049,2619.6461942839974
541,FDM09,OUT019,1547.7473099904569
542,FDP46,OUT049,1573.4572930718637
543,FDB50,OUT019,-121.17454524160507
544,NCQ29,OUT049,4181.560585819143
545,FDP16,OUT027,5298.890148189235
546,FDX33,OUT018,2984.0417409868323
547,FDP07,OUT010,1677.322959715209
548,FDN22,OUT046,3875.3616023742265
549,FDF39,OUT049,4451.852724628656
550,FDS21,OUT017,655.4590557920098
551,NCM42,OUT013,1405.468378728573
552,FDK50,OUT019,1540.966595395114
553,DRF13,OUT027,3816.0558461096184
554,FDH35,OUT018,3061.042918041437
555,FDP60,OUT018,2064.882836532324
556,DRJ49,OUT027,3579.8029932321783
557,NCT42,OUT019,1305.9491005536502
558,FDE38,OUT049,2869.6811029925116
559,FDI04,OUT049,3354.4099890459615
560,NCH54,OUT045,2306.4109907024563
561,FDT56,OUT049,1109.030709956966
562,DRD15,OUT018,4171.741570212347
563,FDV58,OUT013,2799.407888633061
564,FDP21,OUT049,3253.727004279491
565,FDH05,OUT013,3317.718139297675
566,FDR10,OUT027,4039.9272672035017
567,NCP06,OUT045,2223.533957083075
568,FDF33,OUT049,1952.1677028133804
569,DRK37,OUT013,2758.9353110997126
570,DRH49,OUT045,1315.629540877379
571,FDT58,OUT013,2259.5253106288137
572,FDD41,OUT018,2149.0158092301785
573,FDP40,OUT018,2328.886845096026
574,FDM51,OUT027,3134.47974074939
575,FDO45,OUT010,-66.15264964327253
576,FDW33,OUT010,34.379399353956615
577,FDY24,OUT045,873.2575654945417
578,FDB10,OUT010,2159.603046754407
579,FDM40,OUT035,1871.5953248517608
580,NCI06,OUT017,2427.718695884003
581,FDW12,OUT019,1262.6074367283031
582,FDX48,OUT027,3943.9356200252564
583,NCW05,OUT027,2964.109698418821
584,FDX27,OUT017,1041.5423966610806
585,DRM37,OUT045,2939.9867732022476
586,FDA38,OUT045,3698.515006193414
587,FDR36,OUT046,621.9613794033382
588,FDZ45,OUT046,3124.4396511450127
589,FDG05,OUT017,2075.8616277276296
590,FDK28,OUT013,3712.4468588364984
591,FDV47,OUT045,1219.066737375474
592,FDN21,OUT045,2346.2502604995393
593,FDP20,OUT027,3448.4526302667323
594,FDI35,OUT045,2736.7311984066473
595,DRY23,OUT013,376.09778181361025
596,FDA56,OUT017,1595.1290804583405
597,FDB09,OUT013,1610.88625278345
598,NCO26,OUT027,3236.76592466807
599,FDQ49,OUT018,3030.6849629335125
600,FDI52,OUT027,3280.1941853428275
601,FDZ44,OUT027,3308.0769858102626
602,FDZ09,OUT018,2996.79771306598
603,FDY03,OUT049,2014.977133998907
604,NCG42,OUT017,1639.9080758515383
605,DRI13,OUT027,4938.353897033419
606,FDQ32,OUT013,1717.303612704547
607,FDW16,OUT035,1318.0893484522362
608,FDU27,OUT046,643.7681720204291
609,FDR28,OUT010,1155.8523722316686
610,FDQ49,OUT010,1043.657473424003
611,FDS37,OUT046,1897.0057174567705
612,FDW26,OUT018,3922.820720474218
613,FDX12,OUT018,4369.810465110884
614,NCP06,OUT013,2056.9079146054846
615,FDW45,OUT010,792.1236966861816
616,NCN30,OUT049,1759.6915534873892
617,FDN24,OUT049,970.8288081202159
618,NCL41,OUT027,1976.1609429462596
619,FDR02,OUT019,717.6135638934454
620,FDD09,OUT010,1396.959953223833
621,FDS33,OUT010,41.79866279504449
622,FDU22,OUT045,1686.8833537483392
623,FDI53,OUT013,2152.4202469059255
624,DRH01,OUT049,2938.558167046454
625,FDX32,OUT013,1904.280102914514
626,NCP30,OUT018,1161.1545076553643
627,FDB60,OUT045,2980.468747944677
628,FDB14,OUT049,1663.9212214735148
629,NCP02,OUT035,745.4441273979392
630,FDJ10,OUT017,1731.3155358188778
631,FDG34,OUT046,1910.2453656079133
632,NCB18,OUT017,984.2683259413925
633,FDM16,OUT049,1483.4030262363735
634,FDW25,OUT018,1862.776774502267
635,FDB35,OUT010,-60.523650149878904
636,DRN11,OUT013,1795.1307676859306
637,FDF41,OUT019,2573.927557510399
638,FDH16,OUT045,1263.6912826554162
639,NCQ50,OUT018,3849.789681706911
640,DRH23,OUT018,1259.1558898536969
641,DRJ37,OUT013,2090.316588749858
642,DRJ24,OUT027,4272.9312421293
643,FDY16,OUT035,2676.196388539841
644,FDQ27,OUT045,1597.6624387781085
645,FDZ33,OUT045,2117.2635098191213
646,FDF29,OUT045,2037.1314341586954
647,FDA08,OUT049,2839.3265883229446
648,FDG31,OUT046,1151.3813624112436
649,FDE34,OUT019,1929.6014076439606
650,NCR30,OUT027,2567.4220873807276
651,FDV33,OUT035,3948.4786542346587
652,DRZ24,OUT018,2518.5918393822617
653,NCL54,OUT035,2479.312173304983
654,FDR12,OUT049,3019.8840130777776
655,NCC54,OUT046,3735.529863187409
656,DRN59,OUT013,534.3175781651239
657,FDX50,OUT019,583.9314195189436
658,FDV31,OUT027,4149.482728963701
659,NCA29,OUT027,4179.072842615897
660,FDW60,OUT049,3109.2199793585282
661,FDX08,OUT017,2500.1581906792235
662,DRD49,OUT013,3237.6462768145807
663,FDD33,OUT046,3564.803010062398
664,FDW35,OUT013,427.48849446787585
665,FDJ36,OUT017,1144.1238346027885
666,FDV51,OUT035,2454.8375306750368
667,FDW36,OUT046,1704.1056495219377
668,FDH35,OUT046,2609.8137367288864
669,NCS30,OUT027,3423.1533076370665
670,FDN49,OUT017,139.93006435891652
671,FDL08,OUT018,4360.540590147728
672,FDI09,OUT013,3365.973465512568
673,FDP19,OUT018,2347.026775127102
674,FDU21,OUT010,-999.1892396853823
675,NCP41,OUT045,1612.3594481761447
